,Mutual information,Importance,Correlation,Variance,Abs Correlation,Colunas
59,0.01358919014137716,0.0017148001872556375,0.0379891809834944,26921.393667605986,0.0379891809834944,Fwd Act Data Pkts
60,0.1904648181809068,0.07119803105737976,-0.08730371907400561,117.52326146425669,0.08730371907400561,Fwd Seg Size Min
61,0.022077008645940758,0.002999235509838045,0.022521280673017147,7811961179209.272,0.022521280673017147,Active Mean
62,0.00858013889532483,0.0009740032964404617,0.09012064609685473,310517911454.3516,0.09012064609685473,Active Std
63,0.02411024902180725,0.0015100644914220614,0.045297294077003065,8694962786877.05,0.045297294077003065,Active Max
64,0.0347151648118722,0.0011276712202969224,0.011188498980771363,7587285785334.723,0.011188498980771363,Active Min
65,0.031758758368368056,0.002646467221668877,-0.001628737032859442,347403362683158.8,0.001628737032859442,Idle Mean
66,0.008121069405773621,0.0015921448945885868,0.07615086882097581,12482312723106.568,0.07615086882097581,Idle Std
67,0.03570579352614667,0.004679228100886097,0.010871296333171843,381258455119112.0,0.010871296333171843,Idle Max
68,0.031078450886606882,0.005665285470631725,-0.014168332844340163,333054478838116.75,0.014168332844340163,Idle Min
